hut_index,name,latitude,longitude,tourism,capacity,beds,capacity:persons,access,operator,website,reservation,opening_hours,include_in_evaluation
1388,Cabane des Clés,46.56774900,7.02485600000000,alpine_hut,,,,,,https://www.cas-gruyere.ch/fr/cabanes/cabane-des-cles/,,,1
28,Cabane des Diablerets,46.3386910,7.2154750,alpine_hut,32,32,,,CAS,https://www.cabane-diablerets.ch/,,,1
935,Cabane des Dix,46.01108300,7.417605000000000,alpine_hut,115,,,,SAC - CAS Sektion Monte Rosa,http://www.cabanedesdix.ch,,,1
719,Cabane des Electriciens,46.5040790,6.152832000000000,alpine_hut,,,,yes,,,,,1
941,Cabane des Gorges,47.2831720,7.382011000000000,alpine_hut,,,,,CAS,,,,1
978,Cabane des Martinaux,46.2145790,7.047939000000000,alpine_hut,,,,,,,,,1
224,Cabane des Monts-Chevreuils,46.4374910,7.0860630,alpine_hut,30,,,yes,,http://www.monts-chevreuils.ch/cabane.html,,,1
1351,Cabane des Monts-de-Pully,46.53314000,6.6781439999999996,wilderness_hut,,,,,,,,,1
853,Cabane des Ordons,47.38610700,7.2227769999999998,alpine_hut,,,,,CAS Jura,,,,1
592,Cabane des Portes,46.5894320,6.9937750,alpine_hut,,,,,,https://www.cas-gruyere.ch/fr/cabanes/cabane-des-portes/,only,,1
546,Cabane des Vignettes CAS,45.9897930,7.4757410,alpine_hut,125,,,,SAC - CAS Sektion Monte Rosa,https://cabane-des-vignettes.ch/,,,1
518,Cabane des Violettes,46.3423830,7.5000490,alpine_hut,24,,,,SAC - CAS,http://www.cabanedesviolettes.ch,,,1
1289,Cabane des bûcherons,46.7971320,7.080724000000000,wilderness_hut,,,,,,,,,1
877,Cabane des éclaireurs,46.7910970,6.640541000000000,chalet,,,,,,https://www.cabanegrandchene.ch/,,,1
1571,Cabane des éclaireuses,46.7909200,6.6404090,chalet,,,,,,https://www.cabanegrandchene.ch/,,,1
1364,Cabane du Cunay,46.5794730,6.288584000000000,alpine_hut,,,,,Club Alpin Suisse,http://www.cas-valdejoux.ch/index.php/cabane-et-refuge/joomla-fr/cabane-du-cunay/78-cabane/72-refuge-du-cunay,,,1
429,Cabane du Demècre,46.1740750,7.0822420,alpine_hut,27,,,,Les Trotteurs de Fully,https://www.demecre.ch/,required,,1
1075,Cabane du Fénestral,46.18896200,7.100644000000000,alpine_hut,34,,,,,https://www.chavalard.com/,,,1
184,Cabane du Grand-Cunay,46.5713180,6.2766730,alpine_hut,,,,,Ski Club Le Brassus,,,,1
1028,Cabane du Mont-Noble,46.2105820,7.47463700000000,alpine_hut,,,,,,https://www.mtnoble.ch/zwook,,,1
474,Cabane du Mountet CAS,46.0600460,7.6535410,alpine_hut,80,,,,SAC - CAS,https://cas-diablerets.ch/,,,1
1695,Cabane du Moutonnier,46.37102100,7.018202000000000,wilderness_hut,,,,yes,,,,,1
1657,Cabane du Peney,46.49817300,6.186643000000000,wilderness_hut,,,,,Commune de Bassins,,,,1
937,Cabane du Petit Mountet,46.092260000000003,7.633304000000000,alpine_hut,,,,,,https://www.petitmountet.ch/,,,1
70,Cabane du Plan du Jeu,45.9024800,7.2055860,alpine_hut,,,,,,,,,1
835,Cabane du Rio de l'Enfer,46.4983200,6.74619100000000,chalet,,,,,,,,,1
1044,Cabane du Scex Carro,46.15756700,7.078992000000000,alpine_hut,18,,,,,https://www.cabaneduscexcarro.ch/,,,1
1150,Cabane du Ski Club de Vallorbe,46.680256000000000,6.349764000000000,alpine_hut,,20,,,ski club vallorbe,http://skiclubvallorbe.ch/,,,1
424,Cabane du Trient,45.9995960,7.0436490,alpine_hut,90,,,,,https://cas-diablerets.ch/cabanes/cabane-du-trient/,,,1
10,Cabane du Vélan,45.9169360,7.2454620,alpine_hut,62,,,,CAS Bourg-Saint-Pierre,https://www.velan.ch/,,,1
1533,Cabane du col de Bostan,46.1354810,6.810168000000000,wilderness_hut,,,,,,,,,1
1082,Cabane du ski-club de Nyon,46.43283400,6.104373000000000,chalet,,,,,Ski-Club de Nyon,http://www.skiclubnyon.ch/cabane,,,0
1632,Cabane forestière La Valletaine,47.408298000000002,7.174484000000000,chalet,,,,,,https://secure.i-web.ch/gemweb/cornol/fr/loisirs/sallesalouer/welcome.php?action=info&id=543,,,1
1445,Cabane forestière du Rond-Bois,47.480054000000003,7.015465000000000,wilderness_hut,,,,,,,,,0
1076,Cabane les Ecoulaies,46.0635670,7.379769000000000,alpine_hut,,,,,,https://www.lespyramides.ch/cabane,,,1
1228,Cabane scoute du Sentier,46.6050030,6.232398000000000,wilderness_hut,,,,,,https://www.asvd.ch/fidev/sentier/,,,1
245,Cabanne de Plan Névé,46.2519800,7.1443680,alpine_hut,35,,,,,http://www.cabane-plan-neve.ch,,,1
1230,Calandahütte,46.883035000000000,9.482198000000000,alpine_hut,29,,,,SAC - CAS,https://www.calandahuette.ch/,,,1
1365,Camaner-Ställi,46.658816,9.281743000000001,alpine_hut,,,,,,,,,0
1539,Camona Vorab,46.861078,9.197808999999999,wilderness_hut,,,,private,,,,,0
56,Camona da Maighels CAS,46.6253630,8.6901240,alpine_hut,83,,,,SAC - CAS,https://www.maighelshuette.ch/,,,1
54,Camona da Medel CAS,46.6405070,8.9138110,alpine_hut,51,,,,SAC - CAS,https://www.medelserhuette.ch,,,1
1229,Camona da Punteglias CAS,46.7772190,8.956075000000000,alpine_hut,30,,,,SAC - CAS,https://www.punteglias.ch/,,,1
946,Camona da Terri,46.6344960,9.005093000000000,alpine_hut,110,,,yes,SAC - CAS,https://www.terrihuette.ch/,,10-15-15,1
1325,Campel Alt,46.330261000000000,9.27168700,alpine_hut,,,,,,,,,0
1326,Campel Bass,46.324187999999999,9.264267000000000,alpine_hut,,,,,,,,,0
621,Campo Cortoi,46.215678,8.8440080,chalet,,,,,,https://www.campocortoi.ch/,,,1
581,Canard,46.0973940,7.2379240,chalet,,,,,,,,,0
1018,Capanna,47.2051840,9.327876000000000,chalet,,,,,Berg & Bett Betriebs AG,https://booking.bergundbett.ch/vermietung/ferienwohnung-wildhaus-capanna-437335.html,,,0
533,Capanna APE Pru Gerli,46.3148430,10.0524250,chalet,,,,,,,,,0
40,Capanna Adula CAS,46.4991790,8.9956130,alpine_hut,24,,,,SAC - CAS,https://capannaadula.casticino.ch,,,1
128,Capanna Adula UTOE,46.4953100,9.0076300,alpine_hut,54,,,,Unione ticinesi operai escursionisti sezione di Bellinzona,https://www.adula-utoe.ch/,,,1
132,Capanna Albagno,46.2224780,8.9564200,alpine_hut,28,,,,UTOE sezione Bellinzona,http://www.utoe.ch,recommended,,1
191,Capanna Alpe Arena,46.2325150,8.5146730,alpine_hut,30,,,,Patriziato di Onsernone,http://www.capanna-arena.ch,,,1
203,Capanna Alpe Masnee,46.2763400,8.7624040,wilderness_hut,12,,,,Patriziato di Maggia,https://www.ticino.ch/de/alpineHuts/details/Bergh%C3%BCtte-Alpe-Masnee/108881.html,,,1
175,Capanna Alpe Saléi,46.220962,8.5623140,alpine_hut,30,,,,Patriziato di Comologno,https://www.alpesalei.ch/,,Mo-Su 10:30-15:00,1
839,Capanna Alpe Sponda,46.41744800,8.786028000000000,alpine_hut,35,,,yes,SAT Chiasso,http://www.satchiasso.ch,,Jan - Jan,1
196,Capanna Alpe d'Alva,46.2999980,8.9527850,wilderness_hut,24,,,,Patriziato di Lodrino,https://www.ticino.ch/alpineHuts/details/13351.html?source=igodigital,yes,,1
1417,Capanna Alpe di Garíss,46.24504200,8.95703300000000,wilderness_hut,20,,,,Patriziato di Preonzo,https://www.ticino.ch/de/alpineHuts/details/Capanna-Gariss/13381.html,,May-Oct,1
1418,Capanna Alpe di Lèis,46.2483480,8.93299800000000,alpine_hut,14,,,,Patriziato di Preonzo,https://www.ticino.ch/de/alpineHuts/details/Capanna-L%C3%A8is/13392.html,,,1
204,Capanna Alpe di Nimi,46.2522280,8.7674820,alpine_hut,15,,,,Pietro Zanoli,https://www.ticino.ch/de/alpineHuts/details/Bergh%C3%BCtte-Nimi/13397.html,,,1
41,Capanna Alzasca,46.2712790,8.5893000,alpine_hut,20,,,,CAS Locarno,http://www.capannaalzasca.ch,,,1
1094,Capanna Anzana,46.23067400,10.075110000000000,alpine_hut,,,,,Gemeinde Brusio,https://www.brusio.ch/cultura-e-tempo-libero/sport-e-svago/capanna-anzana,required,Jun-Oct,1
1529,Capanna Bardughè,46.23823100,8.872196000000001,alpine_hut,,,,,,,,,1
198,Capanna Barone,46.3957470,8.7487570,wilderness_hut,35,,,,Società Escursionistica Verzaschese (SEV),https://www.sev-verzasca.ch/barone,required,,1
42,Capanna Basodino CAS,46.439542,8.514129,alpine_hut,59,,,,SAC - CAS sezione di Locarno,http://www.capannabasodino.ch,,,1
73,Capanna Borgna,46.2295350,8.9250630,alpine_hut,27,,,,Società Escursionistica Verzaschese (SEV),https://www.sev-verzasca.ch/borgna,,,1
1415,Capanna Bovarina,46.560037000000001,8.888605000000000,alpine_hut,40,,,,UTOE sezione di Bellinzona,https://www.bovarina.ch/,,,1
16,Capanna Brogoldone,46.2628800,9.0633220,alpine_hut,57,,,,Associazione Amici Capanna Brogoldone,https://www.capanneti.ch/,yes,Jan - Jan,1
1636,Capanna Buffalora,46.35097900,9.148422000000000,alpine_hut,30,,,,ASAC,https://www.sentiero-calanca.ch/,,,1
22,Capanna Cadagno,46.5465890,8.7196140,alpine_hut,60,,,,SAT Ritom,https://www.capannacadagno.ch/,,,1
199,Capanna Cadlimo,46.571636,8.6952500,alpine_hut,76,,,,CAS Uto Zurigo,https://www.cadlimohuette.ch,,,1
44,Capanna Campo Tencia,46.4442270,8.7326690,alpine_hut,60,,,,CAS Ticino,https://campotencia.casticino.ch,,,1
75,Capanna Cognóra,46.3764710,8.8131780,wilderness_hut,20,,,,Società Escursionistica Verzaschese (SEV),https://www.sev-verzasca.ch/cognora-deutsch,yes,,1
100,Capanna Cornavosa,46.2794390,8.8975660,wilderness_hut,24,,,,Società Escursionistica Verzaschese (SEV),https://www.sev-verzasca.ch/cornavosa,,,1
45,Capanna Corno Gries CAS,46.4670760,8.4100470,alpine_hut,46,,,,CAS Bellinzona e valli,https://www.corno-gries.ch/,,,1
600,Capanna Cremorasco,46.1485850,9.0124960,alpine_hut,10,,,,,https://www.capanneti.ch/de/huetten/cremorasco,,,1
1416,Capanna Cristallina,46.471841,8.526234000000001,alpine_hut,120,,,,CAS Ticino,https://capannacristallina.casticino.ch/,,,1
27,Capanna Dötra,46.5316840,8.8796430,alpine_hut,34,,,,SAT Lucomagno,http://satlucomagno.ch/,yes,May - Oct,1
74,Capanna Efra,46.3384200,8.8514620,wilderness_hut,24,,,,Società Escursionistica Verzaschese (SEV),https://www.sev-verzasca.ch/efra-deutsch,,,1
890,Capanna Gambarögn,46.11232400,8.830555000000000,alpine_hut,,,,,Amis dala Capanna Gambarögn,https://www.capannagambarogno.ch,,,1
200,Capanna Gana Rossa,46.5063460,8.8457080,wilderness_hut,12,,,,UTOE Pizzo Molare,https://www.utoepizzomolare.ch/,,,1
201,Capanna Garzonera,46.4989820,8.6613900,alpine_hut,20,,,,SAT Ritom,https://www.satritom.ch/capanne-sat-ritom/,,,1
227,Capanna Genzianella,46.1790900,9.0622680,alpine_hut,,22,,,Amici della natura Sezione di Bellinzona,https://www.amicidellanatura-lugano.ch/,,,1
21,Capanna Gesero,46.1814050,9.120836,alpine_hut,40,,,,UTOE Bellinzona,http://www.utoe.ch/?id=470,,,1
202,Capanna Gorda,46.4980080,8.9109300,alpine_hut,28,,,,Società Nido d'Aquila,https://www.capannagorda-sanda.ch,,,1
81,Capanna Grossalp,46.316514,8.4712180,alpine_hut,26,,,,UTOE Locarno,http://www.capannagrossalp.ch,,,1
218,Capanna La Ginestra,46.0867230,8.9819460,alpine_hut,28,,,,Amici della Natura Sezione Lugano,https://www.amicidellanatura-lugano.ch/capanna.html,,,1
228,Capanna La Piana,45.8866770,8.9884590,alpine_hut,,30,,,Scout Mendrisio,https://www.scoutmomo.ch/,,,1
97,Capanna Leit,46.4669220,8.7188170,alpine_hut,64,,,,SAT Mendrisio,http://www.capanna-leit.ch,,,1
1085,Capanna Michela Motterascio,46.59336600,9.005492000000000,alpine_hut,72,72,,,CAS Ticino,http://www.capannamotterascio.ch,,10-15-15,1
657,Capanna Miralago,46.2581230,9.2247420,alpine_hut,34,,,,,https://www.valcama.ch/unterkunft_de.html,,,1
130,Capanna Mognone,46.1963950,8.9507600,alpine_hut,12,,,,Patriziato di Sementina,https://www.patriziato-sementina.ch/,,,1
1572,Capanna Monte Bar,46.10000600,9.013994000000000,alpine_hut,44,,,,CAS Ticino,http://www.capannamontebar.ch,,,1
1563,Capanna Neveggio,46.1407910,8.984869000000000,wilderness_hut,30,,,private,Patriziato di S. Antonino,https://www.patriziatosantantonino.ch/capanna-neveggio/,required,,1
131,Capanna Orino,46.1969830,8.9325460,alpine_hut,12,,,,Patriziato di Gudo,https://www.capanneti.ch/de/huetten/orino,,,1
1501,Capanna Osola,46.32749500,8.70441500000000,alpine_hut,18,18,,,,https://capannaosola.ch/,,,1
404,Capanna Pairolo,46.0628320,9.044859,alpine_hut,39,,,,,https://www.capanna-pairolo.ch/,,,1
1420,Capanna Pian d'Alpe,46.394621000000001,8.938504000000000,alpine_hut,37,,,,UTOE Torrone d'Orza,https://www.utoe-biasca.ch/capanna-pian-dalpe,,,1
2,Capanna Piandios,46.4814910,8.884226,alpine_hut,35,,,,Sci Club Crap,http://www.sciclubcrap.ch/index.php/capanna,,,1
190,Capanna Piano delle Creste,46.3910550,8.4871570,alpine_hut,36,,,,Società Alpinistica Valmaggese,https://www.sav-vallemaggia.ch/,,,1
206,Capanna Piansecco,46.4944250,8.4714620,alpine_hut,46,,,,CAS Bellinzona e valli,https://www.capannapiansecco.ch/,,,1
1480,Capanna Poncione di Braga,46.4288070,8.572328000000001,alpine_hut,33,,,,UTOE Locarno,https://www.utoelocarno.ch/,,,1
1485,Capanna Prodör,46.4984130,8.8141390,alpine_hut,42,,,,,https://www.utoepizzomolare.ch/,,,1
119,Capanna Quarnei,46.473108,9.0236540,alpine_hut,58,,,,Società Alpinistica Bassa Blenio,https://quarnei.ch/,,,1
172,Capanna Ribia,46.251334,8.5416040,alpine_hut,12,,,,Patriziato generale d'Onsernone;Patiziato generale d'Onsernone,https://se-im.ch/capanna-ribia/,,,1
231,Capanna Righetti Fibbioli,46.2579900,9.2236730,alpine_hut,,,,,,http://www.valcama.ch/unterkunft_it.html,,,1
1451,Capanna Ristorante Cimetta,46.2006900,8.788841000000000,alpine_hut,27,,,,Sci Club Gardada,https://www.ticino.ch/de/alpineHuts/details/Bergh%C3%BCtte-Cimetta/13373.html,,,1
1133,Capanna San Lucio,46.0864620,9.08914000000000,alpine_hut,22,,,,Propaganda turistica Bogno,https://capannasanlucio.ch/,,Jan-Dec,1
1565,Capanna Sasc Furä,46.3153340,9.582395999999999,alpine_hut,36,,,,SAC - CAS,https://www.sascfura.ch/,,,1
